"species","gid"
"Terpsichore_pichinchense",89710
"Terminalia_muelleri",89711
"Terminalia_oblongata",89713
"Terminalia_obovata",89714
"Terminalia_reitzii",89718
"Terminalia_riedelii",89719
"Terminalia_sect",89720
"Terminalia_sericea",89721
"Terminalia_steyermarkii",89722
"Terminalia_superba",89723
"Terminalia_tanibouca",89724
"Terminalia_triflora",89725
"Terminalia_virens",89726
"Terminalia_yapacana",89727
"Terminalis_catappa",89728
"Ternstroemia_alnifolia",89729
"Ternstroemia_carnosa",89733
"Ternstroemia_circumscissilis",89734
"Ternstroemia_cleistogama",89735
"Ternstroemia_clusiaefolia",89736
"Ternstroemia_clusiifolia",89737
"Ternstroemia_crassifolia",89738
"Ternstroemia_delicatula",89739
"Ternstroemia_dentata",89740
"Ternstroemia_dentisepala",89741
"Ternstroemia_discoidea",89742
"Ternstroemia_globiflora",89743
"Ternstroemia_guanchezii",89744
"Ternstroemia_gymnanthera",89745
"Ternstroemia_huasteca",89746
"Ternstroemia_huberi",89747
"Ternstroemia_jelskii",89748
"Ternstroemia_killipiana",89749
"Ternstroemia_schomburgkiana",89772
"Ternstroemia_seemannii",89773
"Ternstroemia_klugiana",89750
"Ternstroemia_krukoffiana",89751
"Ternstroemia_landae",89752
"Ternstroemia_lineata",89753
"Ternstroemia_luquillensis",89754
"Ternstroemia_macrocarpa",89755
"Ternstroemia_maguirei",89756
"Ternstroemia_maltbyi",89757
"Ternstroemia_megaloptycha",89758
"Ternstroemia_meridionalis",89759
"Ternstroemia_multiovulata",89760
"Ternstroemia_mutisiana",89761
"Ternstroemia_obovalis",89762
"Ternstroemia_oligostemon",89763
"Ternstroemia_pachytrocha",89764
"Ternstroemia_peduncularis",89765
"Ternstroemia_penduliflora",89766
"Ternstroemia_prancei",89767
"Ternstroemia_punctata",89768
"Ternstroemia_pungens",89769
"Ternstroemia_quinquepartita",89770
"Ternstroemia_retusifolia",89771
"Ternstroemia_stahlii",89774
"Ternstroemia_steyermarkii",89775
"Terpsichore_praeceps",89776
"Tetraglochin_ameghinoi",89777
"Ternstroemia_subserrata",89778
"Ternstroemia_sylvatica",89779
"Ternstroemia_tepezapote",89780
"Ternstroemia_urophora",89781
"Ternstroemia_verticillata",89782
"Terpsichore_achilleifolia",89783
"Terpsichore_alsophilicola",89784
"Terpsichore_alsopteris",89785
"Terpsichore_anfractuosa",89786
"Terpsichore_asplenifolia",89787
"Terpsichore_athyrioides",89788
"Terpsichore_bipinnata",89789
"Terpsichore_chrysleri",89790
"Terpsichore_clathrata",89791
"Terpsichore_delicatula",89792
"Terpsichore_dilatata",89793
"Terpsichore_dolorensis",89794
"Terpsichore_flexuosa",89795
"Terpsichore_gradata",89796
"Terpsichore_heteromorpha",89797
"Terpsichore_immixta",89798
"Terpsichore_jamesonioides",89799
"Terpsichore_jenmanii",89800
